"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","222","test_verify_signin_form","tests.sign_in_sign_out","Wed May 21 20:31:41 GMT 2025","passed","Wed May 21 20:31:41 GMT 2025","","test_sign_in_form","",""
"","1132","test_environment_variables_tab_show_hide_all_values","tests.manage_jenkins.status_information","Wed May 21 20:29:57 GMT 2025","passed","Wed May 21 20:29:58 GMT 2025","","test_system_information","",""
"","520","test_possible_set_environment[With Ant-cb23]","tests.freestyle_project","Wed May 21 20:27:59 GMT 2025","passed","Wed May 21 20:27:59 GMT 2025","","test_environment_set_freestyle_project","",""
"","1828","test_tooltips[tp_link1-Help for feature: Repositories-1]","tests.freestyle_project","Wed May 21 20:28:56 GMT 2025","passed","Wed May 21 20:28:57 GMT 2025","","test_scm_freestyle_project","",""
"","1863","test_tooltips[tp_link2-Help for feature: Repository URL-2]","tests.freestyle_project","Wed May 21 20:29:00 GMT 2025","passed","Wed May 21 20:29:02 GMT 2025","","test_scm_freestyle_project","",""
"","653","test_applay_config","tests.freestyle_project","Wed May 21 20:28:36 GMT 2025","passed","Wed May 21 20:28:37 GMT 2025","","test_freestyle_save_config","",""
"","776","test_add_description_to_pipeline","tests.pipeline","Wed May 21 20:31:39 GMT 2025","passed","Wed May 21 20:31:40 GMT 2025","","test_add_description_to_pipeline","",""
"","112","test_each_trigger_opt_disable[jenkins-triggers-ReverseBuildTrigger]","tests.freestyle_project","Wed May 21 20:28:20 GMT 2025","passed","Wed May 21 20:28:20 GMT 2025","","test_freestyle_config_trigger_verif","",""
"","71","test_each_trigger_opt_enable[hudson-triggers-SCMTrigger]","tests.freestyle_project","Wed May 21 20:28:14 GMT 2025","passed","Wed May 21 20:28:14 GMT 2025","","test_freestyle_config_trigger_verif","",""
"","458","test_possible_set_environment[Delete workspace before build starts-cb18]","tests.freestyle_project","Wed May 21 20:27:44 GMT 2025","passed","Wed May 21 20:27:45 GMT 2025","","test_environment_set_freestyle_project","",""
"","691","Enable or Disable the Project","tests.freestyle_project","Wed May 21 20:27:18 GMT 2025","passed","Wed May 21 20:27:19 GMT 2025","","test_enable_disable_freestyle_project","",""
"","47","test_buttons_available","tests.freestyle_project","Wed May 21 20:28:30 GMT 2025","passed","Wed May 21 20:28:30 GMT 2025","","test_freestyle_save_config","",""
"","408","test_user_can_trigger_builds_remotely","tests.freestyle_project","Wed May 21 20:26:54 GMT 2025","passed","Wed May 21 20:26:54 GMT 2025","","test_build_triggers","",""
"","298","test_open_system_information_page","tests.manage_jenkins.status_information","Wed May 21 20:29:36 GMT 2025","passed","Wed May 21 20:29:37 GMT 2025","","test_system_information","",""
"","1897","test_tooltips[tp_link3-Help for feature: Credentials-3]","tests.freestyle_project","Wed May 21 20:29:04 GMT 2025","passed","Wed May 21 20:29:06 GMT 2025","","test_scm_freestyle_project","",""
"","154","test_new_item_page_is_available","tests.new_item","Wed May 21 20:31:21 GMT 2025","passed","Wed May 21 20:31:21 GMT 2025","","test_new_item_page_availability","",""
"","589","Display dynamic dropdown in the ""Copy from"" lowercase character","tests.new_item","Wed May 21 20:30:45 GMT 2025","passed","Wed May 21 20:30:46 GMT 2025","","test_copy_from","",""
"","0","A Preview and Hide preview option is available","tests.freestyle_project","Wed May 21 20:27:12 GMT 2025","passed","Wed May 21 20:27:12 GMT 2025","","test_description_freestyle_project","",""
"","0","A tooltip “Enable or disable the current project” appears","tests.freestyle_project","Wed May 21 20:27:22 GMT 2025","passed","Wed May 21 20:27:22 GMT 2025","","test_enable_disable_freestyle_project","",""
"","58","test_each_trigger_opt_enable[jenkins-triggers-ReverseBuildTrigger]","tests.freestyle_project","Wed May 21 20:28:07 GMT 2025","passed","Wed May 21 20:28:07 GMT 2025","","test_freestyle_config_trigger_verif","",""
"","218","test_thread_dumps_tab_open_thread_dump_page","tests.manage_jenkins.status_information","Wed May 21 20:30:15 GMT 2025","passed","Wed May 21 20:30:15 GMT 2025","","test_system_information","",""
"","3428","test_system_properties_tab_show_hide_all_values","tests.manage_jenkins.status_information","Wed May 21 20:29:39 GMT 2025","passed","Wed May 21 20:29:42 GMT 2025","","test_system_information","",""
"","160","Disappear a warning message on the Project page","tests.multi_config","Wed May 21 20:30:25 GMT 2025","passed","Wed May 21 20:30:25 GMT 2025","","test_enable_disable_project","",""
"","2184","test_plugins_tab_display_plugins_info","tests.manage_jenkins.status_information","Wed May 21 20:30:06 GMT 2025","passed","Wed May 21 20:30:08 GMT 2025","","test_system_information","",""
